Date and Time                 Stock          Initial Value  Price
9/8/2020 2:34:01 PM           Banking        90             101
9/8/2020 2:34:01 PM           Commodity      500            560
9/8/2020 2:34:01 PM           Banking        90             102
9/8/2020 2:34:01 PM           Commodity      500            563
9/8/2020 2:34:02 PM           Technology     160            176
9/8/2020 2:34:02 PM           Banking        90             104
9/8/2020 2:34:02 PM           Commodity      500            579
9/8/2020 2:34:02 PM           Retail         30             37
9/8/2020 2:34:02 PM           Technology     160            176
9/8/2020 2:34:02 PM           Banking        90             106
9/8/2020 2:34:02 PM           Commodity      500            592
9/8/2020 2:34:03 PM           Retail         30             37
9/8/2020 2:34:03 PM           Technology     160            178
9/8/2020 2:34:03 PM           Banking        90             107
9/8/2020 2:34:03 PM           Commodity      500            608
9/8/2020 2:34:03 PM           Retail         30             39
9/8/2020 2:34:03 PM           Technology     160            182
9/8/2020 2:34:03 PM           Banking        90             109
9/8/2020 2:34:03 PM           Commodity      500            614
9/8/2020 2:34:04 PM           Retail         30             40
9/8/2020 2:34:04 PM           Technology     160            187
9/8/2020 2:34:04 PM           Banking        90             111
9/8/2020 2:34:04 PM           Commodity      500            620
9/8/2020 2:34:04 PM           Retail         30             41
9/8/2020 2:34:04 PM           Technology     160            190
9/8/2020 2:34:04 PM           Banking        90             111
9/8/2020 2:34:04 PM           Commodity      500            630
9/8/2020 2:34:05 PM           Retail         30             43
9/8/2020 2:34:05 PM           Technology     160            194
9/8/2020 2:34:05 PM           Banking        90             114
9/8/2020 2:34:05 PM           Commodity      500            634
9/8/2020 2:34:05 PM           Retail         30             44
9/8/2020 2:34:05 PM           Technology     160            195
9/8/2020 2:34:05 PM           Banking        90             117
9/8/2020 2:34:05 PM           Commodity      500            649
9/8/2020 2:34:06 PM           Retail         30             45
9/8/2020 2:34:06 PM           Technology     160            196
9/8/2020 2:34:06 PM           Banking        90             119
9/8/2020 2:34:06 PM           Commodity      500            653
9/8/2020 2:34:06 PM           Retail         30             47
9/8/2020 2:34:06 PM           Technology     160            199
9/8/2020 2:34:06 PM           Banking        90             119
9/8/2020 2:34:06 PM           Commodity      500            660
9/8/2020 2:34:07 PM           Retail         30             49
9/8/2020 2:34:07 PM           Technology     160            201
9/8/2020 2:34:07 PM           Banking        90             121
9/8/2020 2:34:07 PM           Commodity      500            680
9/8/2020 2:34:07 PM           Retail         30             50
9/8/2020 2:34:07 PM           Technology     160            204
9/8/2020 2:34:07 PM           Banking        90             121
9/8/2020 2:34:07 PM           Commodity      500            685
9/8/2020 2:34:08 PM           Retail         30             50
9/8/2020 2:34:08 PM           Technology     160            205
9/8/2020 2:34:08 PM           Banking        90             125
9/8/2020 2:34:08 PM           Commodity      500            687
9/8/2020 2:34:08 PM           Retail         30             51
9/8/2020 2:34:08 PM           Technology     160            208
9/8/2020 2:34:08 PM           Banking        90             127
9/8/2020 2:34:08 PM           Commodity      500            693
9/8/2020 2:34:09 PM           Retail         30             51
9/8/2020 2:34:09 PM           Technology     160            208
9/8/2020 2:34:09 PM           Banking        90             131
9/8/2020 2:34:09 PM           Commodity      500            700
9/8/2020 2:34:09 PM           Retail         30             51
9/8/2020 2:34:09 PM           Technology     160            209
9/8/2020 2:34:09 PM           Banking        90             132
9/8/2020 2:34:09 PM           Commodity      500            714
9/8/2020 2:34:10 PM           Retail         30             52
9/8/2020 2:34:10 PM           Technology     160            211
9/8/2020 2:34:10 PM           Banking        90             133
9/8/2020 2:34:10 PM           Commodity      500            722
9/8/2020 2:34:10 PM           Retail         30             52
9/8/2020 2:34:10 PM           Technology     160            215
9/8/2020 2:34:10 PM           Banking        90             137
9/8/2020 2:34:10 PM           Commodity      500            736
9/8/2020 2:34:11 PM           Retail         30             52
9/8/2020 2:34:11 PM           Technology     160            219
9/8/2020 2:34:11 PM           Banking        90             140
9/8/2020 2:34:11 PM           Commodity      500            743
9/8/2020 2:34:11 PM           Retail         30             53
9/8/2020 2:34:11 PM           Technology     160            223
9/8/2020 2:34:11 PM           Banking        90             140
9/8/2020 2:34:11 PM           Commodity      500            755
