Date and Time                 Stock          Initial Value  Price
9/9/2020 12:41:39 PM          Technology     160            162
9/9/2020 12:41:39 PM          Retail         30             32
9/9/2020 12:41:39 PM          Banking        90             91
9/9/2020 12:41:39 PM          Commodity      500            508
9/9/2020 12:41:40 PM          Technology     160            162
9/9/2020 12:41:40 PM          Retail         30             34
9/9/2020 12:41:40 PM          Banking        90             95
9/9/2020 12:41:40 PM          Commodity      500            511
9/9/2020 12:41:40 PM          Technology     160            167
9/9/2020 12:41:40 PM          Retail         30             35
9/9/2020 12:41:40 PM          Banking        90             99
9/9/2020 12:41:40 PM          Commodity      500            524
9/9/2020 12:41:41 PM          Technology     160            167
9/9/2020 12:41:41 PM          Retail         30             35
9/9/2020 12:41:41 PM          Banking        90             99
9/9/2020 12:41:41 PM          Commodity      500            536
9/9/2020 12:41:41 PM          Technology     160            171
9/9/2020 12:41:41 PM          Retail         30             36
9/9/2020 12:41:41 PM          Banking        90             100
9/9/2020 12:41:41 PM          Commodity      500            541
9/9/2020 12:41:42 PM          Technology     160            176
9/9/2020 12:41:42 PM          Retail         30             38
9/9/2020 12:41:42 PM          Technology     160            176
9/9/2020 12:41:42 PM          Banking        90             102
9/9/2020 12:41:42 PM          Retail         30             38
9/9/2020 12:41:42 PM          Commodity      500            546
9/9/2020 12:41:42 PM          Banking        90             102
9/9/2020 12:41:42 PM          Technology     160            179
9/9/2020 12:41:42 PM          Retail         30             38
9/9/2020 12:41:42 PM          Technology     160            179
9/9/2020 12:41:42 PM          Retail         30             38
9/9/2020 12:41:42 PM          Commodity      500            548
9/9/2020 12:41:42 PM          Banking        90             105
9/9/2020 12:41:42 PM          Banking        90             105
9/9/2020 12:41:43 PM          Technology     160            184
9/9/2020 12:41:43 PM          Retail         30             40
9/9/2020 12:41:43 PM          Commodity      500            558
9/9/2020 12:41:43 PM          Technology     160            184
9/9/2020 12:41:43 PM          Retail         30             40
9/9/2020 12:41:43 PM          Commodity      500            558
9/9/2020 12:41:43 PM          Banking        90             108
9/9/2020 12:41:43 PM          Banking        90             108
9/9/2020 12:41:43 PM          Technology     160            189
9/9/2020 12:41:43 PM          Retail         30             41
9/9/2020 12:41:43 PM          Commodity      500            577
9/9/2020 12:41:43 PM          Technology     160            189
9/9/2020 12:41:43 PM          Retail         30             41
9/9/2020 12:41:43 PM          Commodity      500            577
9/9/2020 12:41:43 PM          Banking        90             111
9/9/2020 12:41:43 PM          Banking        90             111
9/9/2020 12:41:44 PM          Technology     160            191
9/9/2020 12:41:44 PM          Retail         30             43
9/9/2020 12:41:44 PM          Commodity      500            595
9/9/2020 12:41:44 PM          Technology     160            191
9/9/2020 12:41:44 PM          Retail         30             43
9/9/2020 12:41:44 PM          Commodity      500            595
9/9/2020 12:41:44 PM          Banking        90             111
9/9/2020 12:41:44 PM          Banking        90             111
9/9/2020 12:41:44 PM          Technology     160            195
9/9/2020 12:41:44 PM          Retail         30             44
9/9/2020 12:41:44 PM          Commodity      500            604
9/9/2020 12:41:44 PM          Technology     160            195
9/9/2020 12:41:44 PM          Retail         30             44
9/9/2020 12:41:44 PM          Commodity      500            604
9/9/2020 12:41:44 PM          Banking        90             115
9/9/2020 12:41:44 PM          Banking        90             115
9/9/2020 12:41:45 PM          Technology     160            197
9/9/2020 12:41:45 PM          Retail         30             45
9/9/2020 12:41:45 PM          Commodity      500            623
9/9/2020 12:41:45 PM          Technology     160            197
9/9/2020 12:41:45 PM          Retail         30             45
9/9/2020 12:41:45 PM          Commodity      500            623
9/9/2020 12:41:45 PM          Banking        90             116
9/9/2020 12:41:45 PM          Banking        90             116
9/9/2020 12:41:45 PM          Technology     160            201
9/9/2020 12:41:45 PM          Retail         30             45
9/9/2020 12:41:45 PM          Commodity      500            625
9/9/2020 12:41:45 PM          Technology     160            201
9/9/2020 12:41:45 PM          Retail         30             45
9/9/2020 12:41:45 PM          Commodity      500            625
9/9/2020 12:41:45 PM          Banking        90             119
9/9/2020 12:41:45 PM          Banking        90             119
9/9/2020 12:41:46 PM          Technology     160            201
9/9/2020 12:41:46 PM          Retail         30             45
9/9/2020 12:41:46 PM          Commodity      500            641
9/9/2020 12:41:46 PM          Technology     160            201
9/9/2020 12:41:46 PM          Retail         30             45
9/9/2020 12:41:46 PM          Commodity      500            641
9/9/2020 12:41:46 PM          Banking        90             119
9/9/2020 12:41:46 PM          Banking        90             119
9/9/2020 12:41:46 PM          Technology     160            206
9/9/2020 12:41:46 PM          Retail         30             45
9/9/2020 12:41:46 PM          Commodity      500            652
9/9/2020 12:41:46 PM          Technology     160            206
9/9/2020 12:41:46 PM          Retail         30             45
9/9/2020 12:41:46 PM          Commodity      500            652
9/9/2020 12:41:46 PM          Banking        90             122
9/9/2020 12:41:46 PM          Banking        90             122
9/9/2020 12:41:47 PM          Technology     160            207
9/9/2020 12:41:47 PM          Retail         30             47
9/9/2020 12:41:47 PM          Commodity      500            671
9/9/2020 12:41:47 PM          Technology     160            207
9/9/2020 12:41:47 PM          Retail         30             47
9/9/2020 12:41:47 PM          Commodity      500            671
9/9/2020 12:41:47 PM          Banking        90             126
9/9/2020 12:41:47 PM          Banking        90             126
9/9/2020 12:41:47 PM          Technology     160            207
9/9/2020 12:41:47 PM          Retail         30             47
9/9/2020 12:41:47 PM          Commodity      500            688
9/9/2020 12:41:47 PM          Technology     160            207
9/9/2020 12:41:47 PM          Retail         30             47
9/9/2020 12:41:47 PM          Commodity      500            688
9/9/2020 12:41:47 PM          Banking        90             129
9/9/2020 12:41:47 PM          Banking        90             129
9/9/2020 12:41:48 PM          Technology     160            209
9/9/2020 12:41:48 PM          Retail         30             49
9/9/2020 12:41:48 PM          Commodity      500            694
9/9/2020 12:41:48 PM          Technology     160            209
9/9/2020 12:41:48 PM          Retail         30             49
9/9/2020 12:41:48 PM          Commodity      500            694
9/9/2020 12:41:48 PM          Banking        90             129
9/9/2020 12:41:48 PM          Banking        90             129
9/9/2020 12:41:48 PM          Technology     160            214
9/9/2020 12:41:48 PM          Retail         30             51
9/9/2020 12:41:48 PM          Commodity      500            710
9/9/2020 12:41:48 PM          Technology     160            214
9/9/2020 12:41:48 PM          Retail         30             51
9/9/2020 12:41:48 PM          Commodity      500            710
9/9/2020 12:41:48 PM          Banking        90             133
9/9/2020 12:41:48 PM          Banking        90             133
9/9/2020 12:41:49 PM          Technology     160            219
9/9/2020 12:41:49 PM          Retail         30             53
9/9/2020 12:41:49 PM          Commodity      500            726
9/9/2020 12:41:49 PM          Technology     160            219
9/9/2020 12:41:49 PM          Retail         30             53
9/9/2020 12:41:49 PM          Commodity      500            726
9/9/2020 12:41:49 PM          Banking        90             135
9/9/2020 12:41:49 PM          Banking        90             135
9/9/2020 12:41:49 PM          Technology     160            224
9/9/2020 12:41:49 PM          Retail         30             55
9/9/2020 12:41:49 PM          Commodity      500            731
9/9/2020 12:41:49 PM          Technology     160            224
9/9/2020 12:41:49 PM          Retail         30             55
9/9/2020 12:41:49 PM          Commodity      500            731
9/9/2020 12:41:49 PM          Banking        90             136
9/9/2020 12:41:49 PM          Banking        90             136
9/9/2020 12:41:50 PM          Technology     160            227
9/9/2020 12:41:50 PM          Retail         30             56
9/9/2020 12:41:50 PM          Commodity      500            749
9/9/2020 12:41:50 PM          Technology     160            227
9/9/2020 12:41:50 PM          Retail         30             56
9/9/2020 12:41:50 PM          Commodity      500            749
9/9/2020 12:41:50 PM          Banking        90             136
9/9/2020 12:41:50 PM          Banking        90             136
9/9/2020 12:41:50 PM          Technology     160            229
9/9/2020 12:41:50 PM          Retail         30             58
9/9/2020 12:41:50 PM          Commodity      500            768
9/9/2020 12:41:50 PM          Technology     160            229
9/9/2020 12:41:50 PM          Retail         30             58
9/9/2020 12:41:50 PM          Commodity      500            768
9/9/2020 12:41:50 PM          Banking        90             137
9/9/2020 12:41:50 PM          Banking        90             137
9/9/2020 12:41:51 PM          Technology     160            233
9/9/2020 12:41:51 PM          Retail         30             58
9/9/2020 12:41:51 PM          Commodity      500            770
9/9/2020 12:41:51 PM          Technology     160            233
9/9/2020 12:41:51 PM          Retail         30             58
9/9/2020 12:41:51 PM          Commodity      500            770
9/9/2020 12:41:51 PM          Banking        90             140
9/9/2020 12:41:51 PM          Banking        90             140
9/9/2020 12:41:51 PM          Technology     160            234
9/9/2020 12:41:51 PM          Retail         30             60
9/9/2020 12:41:51 PM          Commodity      500            774
9/9/2020 12:41:51 PM          Technology     160            234
9/9/2020 12:41:51 PM          Retail         30             60
9/9/2020 12:41:51 PM          Banking        90             141
9/9/2020 12:41:51 PM          Commodity      500            774
9/9/2020 12:41:51 PM          Banking        90             141
